title,published,modified,pdfUrl,conference
Domino: Discovering Systematic Errors with Cross-Modal Embeddings,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=FPCMqjI0jXN,ICLR 2022 ORAL
Natural Language Descriptions of Deep Visual Features,29 Jan 2022,28 May 2023,https://openreview.net/pdf?id=NudBMY-tzDr,ICLR 2022 ORAL
Non-Transferable Learning: A New Approach for Model Ownership Verification and Applicability Authorization,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=tYRrOdSnVUy,ICLR 2022 ORAL
Neural Structured Prediction for Inductive Node Classification,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=YWNAX0caEjI,ICLR 2022 ORAL
"A New Perspective on ""How Graph Neural Networks Go Beyond Weisfeiler-Lehman?""",29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=uxgg9o7bI_3,ICLR 2022 ORAL
Minibatch vs Local SGD with Shuffling: Tight Convergence Bounds and Beyond,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=LdlwbBP2mlq,ICLR 2022 ORAL
The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=Z7Lk2cQEG8a,ICLR 2022 ORAL
Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=RQLLzMCefQu,ICLR 2022 ORAL
Bootstrapped Meta-Learning,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=b-ny3x071E5,ICLR 2022 ORAL
Coordination Among Neural Modules Through a Shared Global Workspace,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=XzTtHjgPDsT,ICLR 2022 ORAL
Data-Efficient Graph Grammar Learning for Molecular Generation,29 Jan 2022,28 May 2023,https://openreview.net/pdf?id=l4IHywGq6a,ICLR 2022 ORAL
Poisoning and Backdooring Contrastive Learning,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=iC4UHbQ01Mp,ICLR 2022 ORAL
Neural Collapse Under MSE Loss: Proximity to and Dynamics on the Central Path,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=w1UbdvWH_R3,ICLR 2022 ORAL
Weighted Training for Cross-Task Learning,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=ltM1RMZntpu,ICLR 2022 ORAL
iLQR-VAE : control-based learning of input-driven dynamics with applications to neural data,29 Jan 2022,14 Feb 2023,https://openreview.net/pdf?id=wRODLDHaAiW,ICLR 2022 ORAL
